Id de evento;Tipo;Fecha Evento;Fecha Final de Evento;Título evento;Descripcion y Resumen Evento;Categorias;Subcategorias;Doble/Multiple Afectacion;Resolucion 1612;Resolucion 1820;Descripcion de la fuente;Divipola Dpto;Departmento;Divipola Municipio;Municipio;Numero de afectados;Genero;Familia;Ocupacion;Etnia;Grupo poblacional;Edad;Estado;Condicion;Departamento receptor;Municipio receptor;Numero de personas recibidas;Fecha de fuente;Tipo de fuente;Nombre de fuente;Fuente;Fecha de corte
6502;Violencia;2024-02-01T00:00:00;;Continuidad negación de afectación por confinamiento en corredor del Río Caquetá, Putumayo;.Putumayo,Putumayo-Puerto Guzmán,Puerto Leguízamo-jueves 1 febrero 2024;Restricción al acceso humanitario;Categoría 4: Operaciones militares y hostilidades continuas impidiendo a las operaciones humanitarias;No;No;No;En febrero, se reportó que las entidades competentes negaron la existencia de confinamiento de más de 5.200 personas en la zona que colinda con el río Caquetá en los municipios de Puerto Guzmán y Leguizamo, lo que retrasó la respuesta humanitaria inmediata a las comunidades con necesidades. En dos ocasiones, llegaron a indicar que se tratarían de errores de comunicación entre las entidades. Junto a lo anterior, se quiso generar compromisos de respuesta humanitaria únicamente en las agencias y organizaciones humanitarias. Adicionalmente, las organizaciones reportaron obstáculos para el acceso debido las restricciones a la movilidad impuestas por dos GANE. ;86;Putumayo;86571;Puerto Guzmán;5;Desconocido;;Trabajador humanitario;Sin información-Sin información;Población en general;Mayor de 18 años;No aplica;Civil;;;;01/02/2024;Equipos Locales de Coordinación - ELC;ELC Putumayo;;2025-02-12T09:00:18.7791117Z
6502;Violencia;2024-02-01T00:00:00;;Continuidad negación de afectación por confinamiento en corredor del Río Caquetá, Putumayo;.Putumayo,Putumayo-Puerto Guzmán,Puerto Leguízamo-jueves 1 febrero 2024;Restricción al acceso humanitario;Categoría 4: Operaciones militares y hostilidades continuas impidiendo a las operaciones humanitarias;No;No;No;En febrero, se reportó que las entidades competentes negaron la existencia de confinamiento de más de 5.200 personas en la zona que colinda con el río Caquetá en los municipios de Puerto Guzmán y Leguizamo, lo que retrasó la respuesta humanitaria inmediata a las comunidades con necesidades. En dos ocasiones, llegaron a indicar que se tratarían de errores de comunicación entre las entidades. Junto a lo anterior, se quiso generar compromisos de respuesta humanitaria únicamente en las agencias y organizaciones humanitarias. Adicionalmente, las organizaciones reportaron obstáculos para el acceso debido las restricciones a la movilidad impuestas por dos GANE. ;86;Putumayo;86573;Puerto Leguízamo;5;Desconocido;;Trabajador humanitario;Sin información-Sin información;Población en general;Mayor de 18 años;No aplica;Civil;;;;01/02/2024;Equipos Locales de Coordinación - ELC;ELC Putumayo;;2025-02-12T09:00:18.7792273Z
6566;Violencia;2024-02-27T00:00:00;;Suspensión de misión humanitaria por un bloqueo;.La Guajira-Riohacha-martes 27 febrero 2024;Restricción al acceso humanitario;Categoría 3: Restricciones o interferencia con el paso de agencias, personal o bienes en el país;No;No;No;En el municipio de Riohacha, trabajadores humanitarios que se dirigían a desarrollar actividades hacia zona rural del municipio debió suspender la misión humanitaria, por un bloqueo que se presentó en la troncal del Caribe, en el sector de Pancho, por transportadores que solicitaban garantías de seguridad para desarrollar su trabajo. ;44;La Guajira;44001;Riohacha;0;;;;-;;;No aplica;;;;;27/02/2024;Agencia UN;OCHA;;2025-02-12T09:00:18.7793393Z
6566;Violencia;2024-02-27T00:00:00;;Suspensión de misión humanitaria por un bloqueo;.La Guajira-Riohacha-martes 27 febrero 2024;Categorías Complementarias;Impacto por movilización social/protestas;No;No;No;En el municipio de Riohacha, trabajadores humanitarios que se dirigían a desarrollar actividades hacia zona rural del municipio debió suspender la misión humanitaria, por un bloqueo que se presentó en la troncal del Caribe, en el sector de Pancho, por transportadores que solicitaban garantías de seguridad para desarrollar su trabajo. ;44;La Guajira;44001;Riohacha;0;;;;-;;;No aplica;;;;;27/02/2024;Agencia UN;OCHA;;2025-02-12T09:00:18.7794491Z
6589;Violencia;2024-02-14T00:00:00;;Ataque contra la misión médica en Caloto;.Cauca-Caloto-miércoles 14 febrero 2024;Restricción al acceso humanitario;Categoría 5.1: Ataques contra misión médica;No;No;No;Entre los sucesos más recientes se encuentra el que tuvo lugar en el municipio de Caloto, donde hombres armados atacaron a un ciudadano que se movilizaba como paciente al interior de una ambulancia. ;19;Cauca;19142;Caloto;1;Masculino;;Sin Información;Sin información-Sin información;Población en general;Mayor de 18 años;Desconocido;Civil;;;;14/02/2024;Radio;La W;https://www.wradio.com.co/2024/02/14/en-el-sur-del-cauca-asesinaron-a-un-reconocido-medico/;2025-02-12T09:00:18.7795744Z
6597;Violencia;2024-02-12T00:00:00;;Restricciones al acceso  humanitario en Tierrata, Córdoba;.Córdoba-Tierralta-lunes 12 febrero 2024;Restricción al acceso humanitario;Categoría 4: Operaciones militares y hostilidades continuas impidiendo a las operaciones humanitarias;No;No;No;Se reportaron restricciones al acceso humanitario debido a la presencia de un GANE en el territorio, lo que ha generado movimientos operacionales en la zona. Se mantiene comunicación constante con la comunidad para realizar el seguimiento adecuado. Es importante destacar que son ellos quienes establecen el contacto con nosotros, con el fin de mitigar los riesgos de protección para las comunidades.;23;Córdoba;23807;Tierralta;5;;;Trabajador humanitario;-;;;No aplica;;;;;13/02/2025;Equipos Locales de Coordinación - ELC;ELC Córdoba;ELC Córdoba;2025-02-12T09:00:18.7796833Z
6606;Violencia;2024-02-15T00:00:00;;Se mantienen las barreras de acceso en las veredas donde se encuentra decretado los confinamientos en zona rural de Segovia.;.Antioquia,Antioquia-Segovia,Segovia-jueves 15 febrero 2024;Restricción al acceso humanitario;Categoría 4: Operaciones militares y hostilidades continuas impidiendo a las operaciones humanitarias;No;No;No;Se mantienen las barreras de acceso en las veredas donde se encuentra decretado los confinamientos en zona rural de Segovia. Así mismo, se ha denunciado la instalación masiva de Trampas Explosivas, las restricciones al combustible y gas y los permanentes enfrentamientos entre los GANE. Hasta el momento ni las instituciones del Estado ni los organismos humanitarios han ingresado a la zona. Al parecer, el NRC tenía intenciones de ingresar, pero debido a los constantes enfrentamientos en La Manuela y Rancho Quemado, decidieron no ingresar. ;5;Antioquia;5736;Segovia;0;Desconocido;0;No Aplica;Sin información-Sin información;No Aplica;Sin información;No aplica;Sin información;;;;15/02/2024;Agencia UN;OCHA;Base interna de eventos de acceso;2025-02-12T09:00:18.7797965Z
6606;Violencia;2024-02-15T00:00:00;;Se mantienen las barreras de acceso en las veredas donde se encuentra decretado los confinamientos en zona rural de Segovia.;.Antioquia,Antioquia-Segovia,Segovia-jueves 15 febrero 2024;Restricción al acceso humanitario;Categoría 7: Presencia de Minas Antipersonales (MAP) y Municiones Sin Explotar (MUSE);No;No;No;Se mantienen las barreras de acceso en las veredas donde se encuentra decretado los confinamientos en zona rural de Segovia. Así mismo, se ha denunciado la instalación masiva de Trampas Explosivas, las restricciones al combustible y gas y los permanentes enfrentamientos entre los GANE. Hasta el momento ni las instituciones del Estado ni los organismos humanitarios han ingresado a la zona. Al parecer, el NRC tenía intenciones de ingresar, pero debido a los constantes enfrentamientos en La Manuela y Rancho Quemado, decidieron no ingresar. ;5;Antioquia;5736;Segovia;0;Desconocido;0;Desconocida;Sin información-Sin información;No Aplica;Sin información;No aplica;Sin información;;;;15/02/2024;Agencia UN;OCHA;Base interna de eventos de acceso;2025-02-12T09:00:18.7799047Z
6626;Violencia;2024-02-01T00:00:00;;Organización no ingresa ayuda humanitaria ante advertencia de los GANE en Olaya Herrera (Nariño);.Nariño-Olaya Herrera-jueves 1 febrero 2024;Restricción al acceso humanitario;Categoría 3: Restricciones o interferencia con el paso de agencias, personal o bienes en el país;No;No;No;Los GANE han advertido que no permitirían el ingreso de ayuda humanitaria, si los insumos provienen de Tumaco. Exigen que lo que se va a distribuir provenga de Buenaventura. Esto generó la cancelación de la Misión. Es una amenaza indirecta, toda vez que no está dirigida hacia una organización en específico, sino hacia una situación específica.;52;Nariño;52490;Olaya Herrera;0;;;;-;;;No aplica;;;;;01/02/2024;Equipos Locales de Coordinación - ELC;ELC Nariño;;2025-02-12T09:00:18.7800339Z
6627;Violencia;2024-02-29T00:00:00;;Colapso en la vía genera suspensión de actividades de 10 organizaciones en el municipio de Barbacoas (Nariño);.Nariño-Barbacoas-jueves 29 febrero 2024;Restricción al acceso humanitario;Categoría 8: Ambiente físico/Estado de infraestructura física;No;No;No;Los GANE han advertido que no permitirían el ingreso de ayuda humanitaria, si los insumos provienen de Tumaco. Exigen que lo que se va a distribuir provenga de Buenaventura. Esto generó la cancelación de la Misión. Es una amenaza indirecta, toda vez que no está dirigida hacia una organización en específico, sino hacia una situación específica.;52;Nariño;52079;Barbacoas;0;;;;-;;;Desconocido;;;;;29/02/2024;Equipos Locales de Coordinación - ELC;ELC Nariño;https://informativodelguaico.com/declarada-la-urgencia-manifiesta-en-barbacoas-por-cierre-de-la-via-en-la-columpia/;2025-02-12T09:00:18.7801826Z
